item,classid,amount
Sealed Graffiti | Lambda (Battle Green), 1989323998, 1
Prisma 2 Case, 3761545285, 2
PP-Bizon | Urban Dashed (Field-Tested), 310776765, 1
P250 | Facility Draft (Field-Tested), 3035568810, 1
Clutch Case, 2727227113, 1
PP-Bizon | Sand Dashed (Field-Tested), 310776558, 2
Graffiti | Rage Mode (Princess Pink), 1989271714, 1
Graffiti | Loser (Brick Red), 1989275304, 1
Graffiti | Still Happy (Battle Green), 1989274921, 1
Graffiti | Cocky (Blood Red), 1989275836, 1
Graffiti | Noscope (Princess Pink), 1989271355, 1
AUG | Contractor (Field-Tested), 310776590, 1
MAG-7 | Rust Coat (Field-Tested), 3035570967, 1
Desert Eagle | Urban Rubble (Field-Tested), 310776804, 1
G3SG1 | Green Apple (Minimal Wear), 469440539, 1
Negev | Bulkhead (Minimal Wear), 3035580655, 1
R8 Revolver | Bone Mask (Battle-Scarred), 1432176078, 1
Bonus Rank XP, 3600675055, 18
P90 | Sand Spray (Well-Worn), 310776987, 1
FAMAS | Cyanospatter (Field-Tested), 310778047, 1
Dual Berettas | Colony (Field-Tested), 310777578, 1
SG 553 | Waves Perforated (Minimal Wear), 310777519, 1
Sawed-Off | Forest DDPAT (Minimal Wear), 469446195, 1
Diamond Operation Broken Fang Coin, 4354108672, 1
AUG | Sweeper (Field-Tested), 3035572174, 1
Tec-9 | VariCamo (Field-Tested), 310777338, 1
Galil AR | Cold Fusion (Field-Tested), 3035572150, 1
2020 Service Medal, 3653202725, 1
AUG | Storm (Field-Tested), 310777105, 1
Tec-9 | Urban DDPAT (Minimal Wear), 469439091, 1
G3SG1 | Desert Storm (Battle-Scarred), 310778013, 1
Five-SeveN | Orange Peel (Field-Tested), 310777990, 1
SSG 08 | Blue Spruce (Field-Tested), 310776948, 1
MP9 | Orange Peel (Field-Tested), 310776880, 1
Negev | Army Sheen (Minimal Wear), 469445126, 1
FAMAS | Colony (Field-Tested), 310776904, 1
M4A1-S | Cyrex (Factory New), 520030583, 1
Galil AR | Cold Fusion (Minimal Wear), 3035578346, 1
5 Year Veteran Coin, 778383679, 1
The Elite Mr. Muhlik | Elite Crew, 3608084367, 1
SCAR-20 | Stone Mosaico (Minimal Wear), 3608084298, 1
'Two Times' McCoy | USAF TACP, 3608084078, 1
PP-Bizon | Facility Sketch (Factory New), 3035572347, 1
FAMAS | Night Borre (Factory New), 3608084454, 1
AUG | Navy Murano (Battle-Scarred), 3608084510, 1
Osiris | Elite Crew, 3608084869, 1
PP-Bizon | Facility Sketch (Minimal Wear), 3035568863, 1
Tec-9 | Rust Leaf (Factory New), 3608084296, 1
SSG 08 | Red Stone (Field-Tested), 3608083953, 1
B Squadron Officer | SAS, 3608083916, 1
MP5-SD | Bamboo Garden (Factory New), 3608084498, 1
Negev | Boroque Sand (Minimal Wear), 3608083957, 1
2019 Service Medal, 3134148842, 1
FAMAS | Night Borre (Minimal Wear), 3608083964, 1
Diamond Operation Shattered Web Coin, 3761544644, 1
Souvenir MP5-SD | Lab Rats (Factory New), 3106097319, 1
Berlin 2019 Gold Coin, 3503403801, 1
Katowice 2019 Diamond Coin, 3203230090, 1
Loyalty Badge, 3106076676, 1
Silver London 2018 Pick'Em Trophy, 3027167600, 1
UMP-45 | Arctic Wolf (Minimal Wear), 2735415858, 1
★ Karambit | Stained (Well-Worn), 312328264, 1
AWP | Fever Dream (Minimal Wear), 2751002608, 1
Souvenir Tec-9 | Toxic (Field-Tested), 1644229443, 1
Silver Boston 2018 Pick'Em Trophy, 2701675466, 1
Bronze Krakow 2017 Pick'Em Trophy, 2447274309, 1
StatTrak™ AK-47 | Redline (Field-Tested), 2432136459, 1
StatTrak™ USP-S | Blood Tiger (Minimal Wear), 2414250302, 1
Genuine Baggage Pin, 1832146160, 1
Diamond Operation Hydra Coin, 2599697007, 1
2017 Service Medal, 2150140763, 1
MAC-10 | Fade (Factory New), 2140788166, 1
StatTrak™ Glock-18 | Blue Fissure (Field-Tested), 350508933, 1
P2000 | Scorpion (Factory New), 648238496, 1
XM1014 | Seasons (Field-Tested), 2220014801, 1
Souvenir FAMAS | Styx (Field-Tested), 2159239496, 1
P250 | Contamination (Factory New), 813628141, 1
CZ75-Auto | Crimson Web (Minimal Wear), 1880491421, 1
Souvenir Desert Eagle | Urban DDPAT (Field-Tested), 1415395139, 1
Silver Cologne 2016 Pick'Em Trophy, 1854721567, 1
M4A1-S, 1818524553, 1
Silver Columbus 2016 Pick'Em Trophy, 1647411964, 1
Gold Operation Wildfire Coin, 1856964875, 1
2016 Service Medal, 1716401780, 1
Silver Cluj-Napoca 2015 Pick'Em Trophy, 1380069857, 1
2015 Service Medal, 1201157335, 1
AK-47, 1225125508, 1
Gold Operation Bloodhound Coin, 1324980099, 1
