item,classid,amount
Sticker | Hello P90, 4141789810, 1
Sticker | Natus Vincere | 2020 RMR, 4302203072, 232
Sealed Graffiti | X-Knives (Cash Green), 1989326323, 1
Sealed Graffiti | Tombstone (Frog Green), 1989283415, 1
Sealed Graffiti | King Me (Tiger Orange), 1989278708, 1
Sealed Graffiti | 8-Ball (Tiger Orange), 1989312329, 1
Sealed Graffiti | Chess King (Princess Pink), 1989325560, 1
Sealed Graffiti | Double (Monarch Blue), 1989280088, 1
Sealed Graffiti | Take Flight (SWAT Blue), 1989295951, 1
Sealed Graffiti | Jump Shot (Tracer Yellow), 1989287617, 1
Sealed Graffiti | NaCl (Shark White), 1989279141, 1
Sealed Graffiti | QQ (War Pig Pink), 1989340970, 1
Sealed Graffiti | Loser (Battle Green), 1989295553, 1
Sealed Graffiti | Tilt (Monster Purple), 1989291776, 1
Sealed Graffiti | Double (Brick Red), 1989285134, 2
Sticker | Shattered Web, 3608083923, 2
Sticker | Web Stuck, 3608083938, 1
Sealed Graffiti | Rly (Dust Brown), 3608085113, 1
Sticker | Mastermind, 3608083943, 1
Sticker | Mastermind (Holo), 3608083947, 1
Sticker | Counter-Tech, 3608083929, 1
Sticker | Terrorist-Tech, 3608083913, 1
Sticker | Gold Web, 3608083945, 1
Berlin 2019 Minor Challengers Autograph Capsule, 3472108654, 2
Sticker | FaZe Clan | Berlin 2019, 3485697812, 1
Sticker | FaZe Clan (Holo) | Berlin 2019, 3485689498, 1
Sticker | CR4ZY | Berlin 2019, 3485692967, 20
Sticker | Tyloo | Berlin 2019, 3485692837, 20
Sticker | Natus Vincere | Berlin 2019, 3485691692, 20
Sticker | MIBR | Berlin 2019, 3485690102, 20
Berlin 2019 Vertigo Souvenir Package, 3500686339, 1
Berlin 2019 Vertigo Souvenir Package, 3500685463, 1
Katowice 2019 Overpass Souvenir Package, 3196413393, 1
Katowice 2019 Overpass Souvenir Package, 3196414492, 1
Katowice 2019 Overpass Souvenir Package, 3196412025, 1
London 2018 Train Souvenir Package, 3003189834, 1
London 2018 Overpass Souvenir Package, 3013240248, 1
Sticker | Natus Vincere | London 2018, 3002904210, 1
Sticker | FaZe Clan | London 2018, 3002904211, 1
London 2018 Nuke Souvenir Package, 3006289273, 1
Sticker | Virtus.Pro | London 2018, 3002905562, 1
Sealed Graffiti | Still Happy (Brick Red), 1989278267, 1
Sealed Graffiti | Speechless (Wire Blue), 1989309984, 1
Sealed Graffiti | BOOM (SWAT Blue), 3608084471, 1
Sealed Graffiti | Little Crown (Bazooka Pink), 3608085472, 1
Sealed Graffiti | GLHF (Desert Amber), 1989281461, 1
Sealed Graffiti | 8-Ball (Frog Green), 1989285837, 1
Sealed Graffiti | Applause (SWAT Blue), 3608084640, 1
Sealed Graffiti | 1G (Monarch Blue), 3608084708, 1
Sealed Graffiti | GGWP (Wire Blue), 1989302819, 1
Sealed Graffiti | Kiss (Monarch Blue), 3608085350, 1
Sealed Graffiti | Heart (Princess Pink), 1989288098, 1
Sealed Graffiti | Smarmy (Shark White), 3608084051, 1
Sealed Graffiti | Chess King (Shark White), 1989277193, 1
Sealed Graffiti | Sheriff (Battle Green), 1989300415, 1
Sealed Graffiti | Thoughtfull (Wire Blue), 3608084202, 1
Sealed Graffiti | Thoughtfull (Monster Purple), 3608085118, 1
Sealed Graffiti | Rage Mode (Tiger Orange), 1989279657, 1
Sealed Graffiti | Oops (Battle Green), 3608085167, 1
Sealed Graffiti | Heart (Monster Purple), 1989310496, 1
Sealed Graffiti | GGEZ (Violent Violet), 1989287716, 1
Sealed Graffiti | X-Axes (Frog Green), 1989280644, 1
Sealed Graffiti | Cocky (Tracer Yellow), 1989281873, 1
Sealed Graffiti | Heart (Tracer Yellow), 1989286587, 1
Sealed Graffiti | Sheriff (Cash Green), 1989307604, 1
Sealed Graffiti | Sorry (Tiger Orange), 1989295980, 1
Sealed Graffiti | Heart (Desert Amber), 1989273940, 1
Sealed Graffiti | Death Sentence (Wire Blue), 1989319589, 1
Sealed Graffiti | Death Sentence (Shark White), 1989345795, 1
Sealed Graffiti | Take Flight (Monster Purple), 1989282037, 1
Sealed Graffiti | Toasted (Princess Pink), 1989280837, 1
Sealed Graffiti | Still Happy (War Pig Pink), 1989297075, 1
Sealed Graffiti | Quickdraw (Brick Red), 1989311038, 1
Sealed Graffiti | Quickdraw (Bazooka Pink), 1989274352, 1
Sealed Graffiti | Toasted (Blood Red), 1989288421, 1
Sealed Graffiti | GTG (Cash Green), 1989278558, 1
Sealed Graffiti | Worry (Frog Green), 1989320848, 1
Sealed Graffiti | Eat It (Violent Violet), 1989288075, 1
Sealed Graffiti | Tombstone (Jungle Green), 1989317203, 1
Sealed Graffiti | Loser (Monarch Blue), 1989302515, 1
Sealed Graffiti | Popdog (Wire Blue), 1989284170, 2
Sealed Graffiti | GTG (Dust Brown), 1989302171, 1
Sealed Graffiti | Piggles (Monster Purple), 1989273978, 1
Sealed Graffiti | Noscope (Tracer Yellow), 1989343624, 2
Sealed Graffiti | Heart (Dust Brown), 1989273796, 1
Sealed Graffiti | GGEZ (Cash Green), 1989312146, 1
Sealed Graffiti | King Me (Frog Green), 1989316627, 1
Sealed Graffiti | Loser (Brick Red), 1989275019, 1
Sealed Graffiti | Sorry (Tracer Yellow), 1989294223, 1
Sealed Graffiti | Noscope (Tiger Orange), 1989281659, 1
Sealed Graffiti | Lambda (Jungle Green), 1989281766, 1
Sealed Graffiti | GLHF (Blood Red), 1989285791, 1
Sealed Graffiti | Popdog (Tracer Yellow), 1989316827, 1
Sealed Graffiti | Rage Mode (Cash Green), 1989278753, 1
Sealed Graffiti | Eco (Battle Green), 1989308904, 1
