item,price,sum
Spectrum 2 Case, 0.31, 244.59
Prisma Case, 0.07, 1.05
Danger Zone Case, 0.06, 1.08
Prisma 2 Case, 0.05, 0.25
Operation Vanguard Weapon Case, 0.69, 0.69
Clutch Case, 0.15, 2.25
CS20 Case, 0.14, 0.84
Horizon Case, 0.1, 1.10
Spectrum Case, 0.46, 7.82
Glove Case, 1.38, 19.32
Gamma 2 Case, 0.4, 4.80
Operation Breakout Weapon Case, 1.91, 26.74
Gamma Case, 0.27, 4.59
Chroma Case, 0.71, 1.42
Falchion Case, 0.25, 3.75
Chroma 3 Case, 0.13, 1.17
Chroma 2 Case, 0.27, 2.97
Operation Wildfire Case, 0.27, 5.94
Revolver Case, 0.13, 0.91
Sticker | Hello P90, 0.06, 0.06
Sticker | Natus Vincere | 2020 RMR, 0.11, 25.52
Sealed Graffiti | X-Knives (Cash Green), 0.03, 0.03
Sealed Graffiti | Tombstone (Frog Green), 0.03, 0.03
Sealed Graffiti | King Me (Tiger Orange), 0.04, 0.04
Sealed Graffiti | 8-Ball (Tiger Orange), 0.03, 0.03
Sealed Graffiti | Chess King (Princess Pink), 0.03, 0.03
Sealed Graffiti | Double (Monarch Blue), 0.03, 0.03
Sealed Graffiti | Take Flight (SWAT Blue), 0.03, 0.03
Sealed Graffiti | Jump Shot (Tracer Yellow), 0.03, 0.03
Sealed Graffiti | NaCl (Shark White), 0.03, 0.03
Sealed Graffiti | QQ (War Pig Pink), 0.03, 0.03
Sealed Graffiti | Loser (Battle Green), 0.03, 0.03
Sealed Graffiti | Tilt (Monster Purple), 0.03, 0.03
Sealed Graffiti | Double (Brick Red), 0.03, 0.06
Sticker | Shattered Web, 0.12, 0.24
Sticker | Web Stuck, 0.11, 0.11
Sealed Graffiti | Rly (Dust Brown), 0.07, 0.07
Sticker | Mastermind, 0.09, 0.09
Sticker | Mastermind (Holo), 0.29, 0.29
Sticker | Counter-Tech, 0.14, 0.14
Sticker | Terrorist-Tech, 0.09, 0.09
Sticker | Gold Web, 0.11, 0.11
Berlin 2019 Minor Challengers Autograph Capsule, 0.64, 1.28
Sticker | FaZe Clan | Berlin 2019, 0.69, 0.69
Sticker | FaZe Clan (Holo) | Berlin 2019, 0.61, 0.61
Sticker | CR4ZY | Berlin 2019, 0.3, 6.00
Sticker | Tyloo | Berlin 2019, 0.24, 4.80
Sticker | Natus Vincere | Berlin 2019, 0.72, 14.40
Sticker | MIBR | Berlin 2019, 0.42, 8.40
